id,title,vendor,doc_number,revision,revision_date,category,url,archive_url,license,redistributable,local_path,sha256,verified_level,verified_date,notes
odva-cip-networks-library,The CIP Networks Library (EtherNet/IP),ODVA,n/a,n/a,,protocols,https://www.odva.org/technology-standards/key-technologies/ethernet-ip/,,"proprietary, purchase required",no,,,"GATED, UNREAD",2026-07-15,"Landing page only. The spec itself is sold and it is expensive. Cite it by number, paraphrase structure, never reproduce. A GATED, UNREAD row is still a useful row: it tells a reader the document exists, what it covers, and what it costs."
nfpa-free-access,NFPA Free Access to codes and standards,NFPA,n/a,n/a,,standards,https://www.nfpa.org/codes-and-standards/free-access,https://web.archive.org/web/20260715162603/https://www.nfpa.org/for-professionals/codes-and-standards/list-of-codes-and-standards/free-access,"proprietary, read only viewer",no,,,"GATED, UNREAD",2026-07-15,"How to legally read NFPA 70, 70E, and 79 for free. A pointer to a viewer, not a document. Never mirror anything reached through it."
automationdirect-c2-user-m-1st-ed-rev-v,CLICK PLUS PLC Hardware User Manual,AutomationDirect,C2-USER-M,"1st Ed., Rev. V",,plc-control,https://cdn.automationdirect.com/static/manuals/c2userm/c2userm.html,https://web.archive.org/web/20260715174523/https://cdn.automationdirect.com/static/manuals/c2userm/c2userm.html,unknown,no,,,LOCATED ONLY,2026-07-15,"Full manual for the CLICK PLUS PLC line, the low cost brick PLC a lot of small panels and OEM machines use. The landing page itself lists Current version is 1st Ed., Rev. V, Jun 2026, so a tech can confirm freshness before trusting wiring or spec pages. Chapters are individually linked PDFs off this page, for example ch1.pdf, which was confirmed reachable."
automationdirect-p1-user-m-2nd-ed-rev-n,Productivity1000 User Manual and Inserts,AutomationDirect,P1-USER-M,2nd Ed. Rev. N,2026-01-28,plc-control,https://cdn.automationdirect.com/static/manuals/p1userm/p1userm.html,,unknown,no,,,LOCATED ONLY,2026-07-15,"Hardware manual for the Productivity1000 PAC line, covers install, wiring, and the P1000 CPU. A tech opens this for terminal wiring diagrams and module specs when the panel builder did not leave a printed copy. The page states its own current revision and date, which is worth checking against the printed manual in the panel."
automationdirect-d0-06user-m-3rd-edition-rev-i,DL06 User Manual,AutomationDirect,D0-06USER-M,"3rd Edition, Rev. I",,plc-control,https://cdn.automationdirect.com/static/manuals/d006userm/d006userm.html,,unknown,no,,,LOCATED ONLY,2026-07-15,"The DirectLOGIC DL06 is still common on legacy skids and small water and wastewater panels, so this manual is the fastest way to pull relay numbering, addressing, and I/O specs on a system nobody has touched in a decade. Page reports its own revision as 3rd Edition, Rev. I, Oct 2024."
opto-22-form-1592,SNAP PAC S-Series Controller User's Guide,Opto 22,Form 1592,n/a,,plc-control,https://documents.opto22.com/1592_SNAP_PAC_S_series_Users_Guide.pdf,,unknown,no,,,LOCATED ONLY,2026-07-15,"Install and use guide for the SNAP PAC S1 and S2 rack mount controllers still running in a lot of water, oil and gas, and building automation sites. Covers install, LED status codes, and firmware update steps, the things a tech actually needs standing in front of the rack."
opto-22-form-1700,PAC Control User's Guide,Opto 22,Form 1700,n/a,,plc-control,https://www.opto22.com/Opto22/media/documents/1700_PAC_Control_Users_Guide.pdf,,unknown,no,,,LOCATED ONLY,2026-07-15,"The programming manual for PAC Control, the free flowchart based IDE Opto 22 ships for its PAC and groov controllers. A tech pulls this open to look up a specific command's syntax rather than hunting through the software help."
opto-22-form-2324,groov RIO Universal I/O User's Guide,Opto 22,Form 2324,n/a,,plc-control,https://documents.opto22.com/2324_groov_RIO_Users_Guide.pdf,,unknown,no,,,LOCATED ONLY,2026-07-15,"Covers the groov RIO edge I/O modules, Opto 22's newer DIN rail remote I/O with a built in web server for configuration, no separate software install needed. Useful when a tech is standing at a remote skid with just a laptop and a browser."
rockwell-automation-allen-bradley-1756-um543,ControlLogix 5580 and GuardLogix 5580 Controllers User Manual,Rockwell Automation / Allen-Bradley,1756-UM543,n/a,,plc-control,https://literature.rockwellautomation.com/idc/groups/literature/documents/um/1756-um543_-en-p.pdf,,unknown,no,,,LOCATED ONLY,2026-07-15,"The core reference for the ControlLogix 5580 family that runs most modern data center and large industrial control racks. A tech opens this for chassis power budgeting, module keying rules, and controller status indicator meanings during a fault call."
rockwell-automation-allen-bradley-5069-um001,CompactLogix 5380 and Compact GuardLogix 5380 Controllers User Manual,Rockwell Automation / Allen-Bradley,5069-UM001,n/a,,plc-control,https://literature.rockwellautomation.com/idc/groups/literature/documents/um/5069-um001_-en-p.pdf,,unknown,no,,,LOCATED ONLY,2026-07-15,"Covers the CompactLogix 5380 platform, the compact DIN rail Logix controller commonly found on smaller machine and process skids. Same value as the ControlLogix manual but for the smaller footprint hardware, module wiring and status code lookups on site."
rockwell-automation-allen-bradley-2080-rm001,Micro800 Programmable Controllers General Instructions Reference Manual,Rockwell Automation / Allen-Bradley,2080-RM001,n/a,,plc-control,https://literature.rockwellautomation.com/idc/groups/literature/documents/rm/2080-rm001_-en-e.pdf,,unknown,no,,,LOCATED ONLY,2026-07-15,"The full instruction set reference for Micro800 controllers, ladder, structured text and function block, the entry level Rockwell family found in small OEM panels. A tech uses this to look up a rung's exact instruction behavior instead of guessing from the software autocomplete."
rockwell-automation-allen-bradley-520-um001,PowerFlex 520-Series Adjustable Frequency AC Drive User Manual,Rockwell Automation / Allen-Bradley,520-UM001,n/a,,plc-control,https://literature.rockwellautomation.com/idc/groups/literature/documents/um/520-um001_-en-e.pdf,,unknown,no,,,LOCATED ONLY,2026-07-15,"Covers the PowerFlex 520 series which includes the very common PowerFlex 525, likely the single most encountered VFD on a plant floor. A tech pulls this for parameter numbers, fault codes, and wiring terminal layout during a drive trip call."
schneider-electric-eio0000003297,Modicon M221 Logic Controller Programming Guide,Schneider Electric,EIO0000003297,n/a,,plc-control,https://download.schneider-electric.com/files?p_Doc_Ref=EIO0000003297,,unknown,no,,,LOCATED ONLY,2026-07-15,"Programming guide for the Modicon M221, Schneider's small book style logic controller programmed with EcoStruxure Machine Expert Basic. A tech opens this for the instruction list and function block reference when writing or troubleshooting a small machine program."
beckhoff-automation-1-3-2,TwinCAT 3 Basics,Beckhoff Automation,n/a,1.3.2,2026-06-25,plc-control,https://download.beckhoff.com/download/document/automation/twincat3/TwinCAT_3_Basics_EN.pdf,,unknown,no,,,LOCATED ONLY,2026-07-15,"Introductory manual to TwinCAT 3, Beckhoff's PC based automation and PLC engineering environment for their EtherCAT I/O and motion hardware. Good starting document for a tech coming from a traditional PLC background who now has to open a TwinCAT project."
abb-3axd50000016097-j,ACS580 Standard Control Program Firmware Manual,ABB,3AXD50000016097,J,,plc-control,https://library.e.abb.com/public/d03c76db17d34239a838ed3baf814028/EN_ACS580_FW_J_A5.pdf,,unknown,no,,,LOCATED ONLY,2026-07-15,"Firmware and parameter manual for the ACS580, a common general purpose ABB drive on pump and fan applications. A tech uses this for the full parameter list and fault code table when the drive keypad alone is not enough to diagnose a trip."
mitsubishi-electric-jy997d53401-h,MELSEC iQ-F FX5U CPU Module Hardware Manual,Mitsubishi Electric,JY997D53401,H,,plc-control,https://dl.mitsubishielectric.com/dl/fa/document/manual/plcf/jy997d53401(e)/jy997d53401eh.pdf,,unknown,no,,,LOCATED ONLY,2026-07-15,"Hardware manual for the FX5U, Mitsubishi's mid range micro PLC, covering module specs, wiring, and installation. A tech pulls this for terminal layouts and I/O specs on FX5U based machines, common in packaging and machine builder work."
omron-w613-e1-03,SYSMAC CP Series CP2E CPU Unit Hardware User's Manual,Omron,W613,E1-03,,plc-control,https://files.omron.eu/downloads/latest/manual/en/w613_cp2e_hardware_users_manual_en.pdf,,unknown,no,,,LOCATED ONLY,2026-07-15,"Hardware manual for the Omron CP2E, a compact PLC common on European built OEM machines. A tech uses this for wiring diagrams, expansion unit rules, and mounting specs when the machine builder's documentation is missing or in another language."
omron-w483,SYSMAC CP Series CP1E/CP2E CPU Unit Instructions Reference Manual,Omron,W483,n/a,,plc-control,https://files.omron.eu/downloads/latest/manual/en/w483_cp1e_cp2e_cpu_unit_instructions_reference_manual_en.pdf,,unknown,no,,,LOCATED ONLY,2026-07-15,"The instruction set reference shared by the CP1E and CP2E families, the actual ladder instruction behavior a tech needs when reading or editing a program rather than just wiring the rack. Companion document to the W613 hardware manual above."
wago-750-8202,WAGO I/O System 750 PFC200 (750-8202) Manual,WAGO,750-8202,n/a,,plc-control,https://www.wago.com/wagoweb/documentation/750/eng_manu/coupler_controller/m07508202_xxxxxxxx_0en.pdf,,unknown,no,,,LOCATED ONLY,2026-07-15,"Manual for the PFC200 2ETH RS controller, WAGO's Linux based DIN rail PAC widely used in building automation and process skids for its native web configuration and CODESYS runtime. A tech opens this for the fieldbus coupler wiring and system LED status table."
osha-29-cfr-1910-subpart-s,1910 Subpart S - Electrical,OSHA,29 CFR 1910 Subpart S,n/a,,safety,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910SubpartS,,public domain (US government work),yes,,,LOCATED ONLY,2026-07-15,"The general industry electrical rule set (design safety standards plus safety related work practices, sections 1910.301 through 1910.399). A field tech opens this to find the actual regulatory text behind terms like qualified person and approach boundary, not a summary of it."
osha-29-cfr-1910-269,"1910.269 - Electric power generation, transmission, and distribution.",OSHA,29 CFR 1910.269,n/a,,safety,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.269,,public domain (US government work),yes,,,LOCATED ONLY,2026-07-15,"Governs utility scale power generation, transmission, and distribution work: minimum approach distances, grounding, and PPE for line and substation crews. This is the standard a data center or utility side tech is actually held to, distinct from the general industry electrical rule."
osha-29-cfr-1926-subpart-k,1926 Subpart K - Electrical,OSHA,29 CFR 1926 Subpart K,n/a,,safety,https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926SubpartK,,public domain (US government work),yes,,,LOCATED ONLY,2026-07-15,"The construction industry counterpart to 1910 Subpart S, covering temporary wiring, grounding, and electrical work on active job sites. Anyone doing new build or retrofit electrical work under a construction contract is governed by this part, not the general industry one."
osha-29-cfr-1910-212,1910.212 - General requirements for all machines.,OSHA,29 CFR 1910.212,n/a,,safety,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.212,,public domain (US government work),yes,,,LOCATED ONLY,2026-07-15,"The baseline machine guarding rule, point of operation guards, barrier requirements, and anchoring. Short and general on purpose, it is the citation OSHA reaches for first on an unguarded machine so it is worth having on hand verbatim."
osha-29-cfr-1910-333,1910.333 - Selection and use of work practices.,OSHA,29 CFR 1910.333,n/a,,safety,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.333,,public domain (US government work),yes,,,LOCATED ONLY,2026-07-15,Sets the deenergize first rule and the narrow conditions under which energized work is permitted. This is the section that defines when a job actually requires an arc flash study and PPE rather than a simple lockout.
osha-29-cfr-1910-335,1910.335 - Safeguards for personnel protection.,OSHA,29 CFR 1910.335,n/a,,safety,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.335,,public domain (US government work),yes,,,LOCATED ONLY,2026-07-15,"Requires PPE, insulated tools, and warning signs whenever energized work under 1910.333 is performed. Pair this with 1910.333, one sets when energized work is allowed and this one sets what protects the worker while it happens."
osha-osha-3075-2002-revised,Controlling Electrical Hazards,OSHA,OSHA 3075,2002 (revised),2002-01-01,safety,https://www.osha.gov/sites/default/files/publications/OSHA3075.pdf,,public domain (US government work),yes,,,LOCATED ONLY,2026-07-15,"A plain language booklet explaining electrical hazards and OSHA's electrical standards for workers who are not electrical specialists. Good as a toolbox talk handout rather than a citation source, the regulations themselves are the authority."
osha-osha-3120-2002-revised,Control of Hazardous Energy Lockout/Tagout,OSHA,OSHA 3120,2002 (revised),2002-01-01,safety,https://www.osha.gov/sites/default/files/publications/osha3120.pdf,,public domain (US government work),yes,,,LOCATED ONLY,2026-07-15,"OSHA's own plain language guide to the LOTO standard, with the six basic steps and example tagout procedures. Useful as the training handout that sits next to the regulatory text at 1910.147."
us-department-of-energy-doe-hdbk-1011-1-92-june-1992,"DOE Fundamentals Handbook: Electrical Science, Volume 1 of 4",US Department of Energy,DOE-HDBK-1011/1-92,June 1992,,standards,https://www.energy.gov/sites/default/files/2026-04/DOE-HDBK-1011-92_VOL1.pdf,,"public domain (US government work), Distribution Statement A",yes,,,LOCATED ONLY,2026-07-15,"Free and complete electrical theory training text from the DOE, 166 pages, and it is genuinely open: the title page carries Distribution Statement A, approved for public release, distribution unlimited. The catalog row points at the PDF on energy.gov rather than the standards.doe.gov landing page, which serves HTML and not the document. Dated June 1992 on its own title page, which is why revision_date is empty: the document gives a month, not a day."
cisa-nccic-ics-cert-2016,Recommended Practice: Improving Industrial Control System Cybersecurity with Defense-in-Depth Strategies,CISA (NCCIC / ICS-CERT),n/a,2016,2016-09-01,standards,https://www.cisa.gov/sites/default/files/recommended_practices/NCCIC_ICS-CERT_Defense_in_Depth_2016_S508C.pdf,,public domain (US government work),yes,,,LOCATED ONLY,2026-07-15,"CISA's own defense in depth guidance for control system networks: network segmentation, DMZs, and monitoring for PLC and SCADA environments. Written for the same OT boundary a data center or industrial controls tech sits on, and it is free where most OT security guidance is not."
nfpa-nfpa-70e,NFPA 70E Standard Development,NFPA,NFPA 70E,n/a,,standards,https://www.nfpa.org/codes-and-standards/all-codes-and-standards/list-of-codes-and-standards/detail?code=70E,,"proprietary, read only viewer",no,,,LOCATED ONLY,2026-07-15,"The standard for electrical safety in the workplace, the source of arc flash boundary, incident energy, and PPE category concepts used across the industry. NFPA offers a free read only online viewer of the full text but the document itself must be purchased to download, print, or redistribute."
nfpa-nfpa-70-nec,"NFPA 70, National Electrical Code (NEC) Standard Development",NFPA,NFPA 70 (NEC),n/a,,standards,https://www.nfpa.org/codes-and-standards/all-codes-and-standards/list-of-codes-and-standards/detail?code=70,,"proprietary, read only viewer",no,,,LOCATED ONLY,2026-07-15,"The National Electrical Code, the base installation and wiring standard behind essentially every electrical inspection in the US. Same access model as 70E, free read only viewer, purchase required for a usable copy."
iec-iec-61850-all-parts,IEC 61850:2026 SER,IEC,IEC 61850,all parts,,standards,https://webstore.iec.ch/en/publication/6028,,"proprietary, purchase required",no,,,LOCATED ONLY,2026-07-15,"The series landing page for IEC 61850, communication networks and systems for power utility automation, the protocol family behind modern substation and switchgear IEDs talking to each other. It covers substation automation communication and is sold per part or as the full series through the IEC webstore."
iso-iso-13849-1-2023-2023,"ISO 13849-1:2023, Safety of machinery - Safety-related parts of control systems - Part 1: General principles for design",ISO,ISO 13849-1:2023,2023,2023-01-01,standards,https://www.iso.org/standard/73481.html,,"proprietary, purchase required",no,,,LOCATED ONLY,2026-07-15,"The controlling standard for functional safety of machine control systems, performance levels, category architecture, and safety PLC design. It is the standard behind most safety relay and safety PLC datasheets and is sold as a landing page purchase through iso.org."
ieee-ieee-1584-2018-2018,IEEE Guide for Performing Arc-Flash Hazard Calculations,IEEE,IEEE 1584-2018,2018,2018-01-01,standards,https://standards.ieee.org/ieee/1584/5802/,,"proprietary, purchase required",no,,,LOCATED ONLY,2026-07-15,"The mathematical model behind arc flash incident energy calculations, built from over 1800 arc tests and referenced by NFPA 70E as the accepted calculation method. It is the actual engineering standard behind the arc flash labels a tech reads, and IEEE sells it rather than giving it away."
ul-standards-engagement-ul-508a,UL 508A,UL Standards & Engagement,UL 508A,n/a,,standards,https://www.shopulstandards.com/ProductDetail.aspx?productId=UL508A,,"proprietary, purchase required",no,,,LOCATED ONLY,2026-07-15,"The safety standard for industrial control panels, the one a panel builder or field tech checks a UL label against for wire sizing, short circuit current rating, and enclosure construction. Landing page only, the standard itself is a paid UL publication."
isa-ansi-isa-95-00-01-2025-2025,"ANSI/ISA-95.00.01-2025 (IEC 62264-1 MOD), Enterprise-Control System Integration - Part 1: Models and Terminology",ISA,ANSI/ISA-95.00.01-2025,2025,2025-04-01,standards,https://www.isa.org/products/ansi-isa-95-00-01-2025-iec-62264-1-mod-enterprise,,"proprietary, purchase required",no,,,LOCATED ONLY,2026-07-15,"The base model for ISA 95, the standard vocabulary and structure for how plant floor control systems interface with enterprise MES and ERP systems. Anyone integrating a PLC or SCADA layer up into a manufacturing execution system eventually runs into this terminology, sold through the ISA store."
neta-international-electrical-testing-association-ansi-neta-mts-2023-2023,"ANSI/NETA MTS-2023, Standard for Maintenance Testing Specifications for Electrical Power Equipment and Systems",NETA (InterNational Electrical Testing Association),ANSI/NETA MTS-2023,2023,2023-01-01,standards,https://www.netaworld.org/store/mts,,"proprietary, purchase required",no,,,LOCATED ONLY,2026-07-15,"The industry reference for how often and how to test breakers, transformers, relays, and switchgear, the specification most electrical testing companies bid against. Landing page only through the NETA store, this is not a free document."
